,category_name,parent_cat_name,Entity,complaint words,output sequence,complaint_description,predicted_label
199,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"1,2,3 ","Garbage on street that lead to Hulimavu kere near apas valmark. Need the garbage to collected as half of the road is filled with garbage now. Also, bins have to be placed in designated areas so that people dont throw garbage on the street and it has to be collected regularly.",Garbage
200,Bad Roads,Maintenance of Roads and Footpaths,roads,no asphalted road,"1,2,3 ","No asphalted road to BDA park in front of Hulimavu kere, requesting to lay down asphalted road to the park, also to make asphalted parking space in front of the park for the people who visit park. Thanks in advance",Parking Violations
201,No Sewage Drains,Sewage and Storm Water Drains,sewage,sewage water causing smell,"1,2,19,20,21",Sewage water directed to Hulimavy kere in front of the BDA park in middle of road to park. Causing faul smell to those who want to go the park. Also want asphalt road to park.,Parks and playgrounds
202,Garbage,Garbage and Unsanitary Practices,garbage,dumped garbage,"1,2 ",Dumped garbage on goodshed main road,Garbage
203,Defacement of Buildings and Public Property - Others,Defacement of Buildings and Public Property,bus,no seating facility,"1,2,3,6,7,8",In bus stop there were no seating facility for public but have the base for seats.,Public Nuisance
204,Poor Maintenance of Buildings and Heritage Sites,Defacement of Buildings and Public Property,footpath,iron road on footpath,"10,11,18",There on the way through footpath we can see iron roads from a building came outside till footpath.,Footpaths
205,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"1,2,3 ",Gardage from hotels lodges and publjcs,Air Pollution
206,Footpaths,Maintenance of Roads and Footpaths,footpath,plight to see footpath,"3,4,5,6,7 ",It\'s very plight to see the footpath infront of b.g.s hostel.,Footpaths
207,Garbage,Garbage and Unsanitary Practices,garbage,dumped garbage,"1,2 ",Dumped garbage on apposite hospital and education dept,Garbage
208,Garbage,Garbage and Unsanitary Practices,garbage,garabge dumped,"1,2 ",Garbage dumped on railway station main road,Garbage
209,BMTC - Driver or Conductor,Public Transport - BMTC,gbus,rude behavious,"45,46,47,48,49,50,51,52,53","I  am a regular commuter on route 90E (Majestic to Yeshwantpur via Malleshwaram 8th Main). \nYesterday I boarded a 90E bus (KA01 FA 1295) at 6pm from Majestic. The bus reached my destination (Malleshwaram 8th main) at 6.15pm. I would like to report extremely rude and unprofessional behavior on part of the conductor.\n\nThe conductor (a male in his 30s with moustache) kept shouting at passengers to go to the back of the bus throughout the short ride.\n To clarify - it is OK to ask people to start filling the bus at the back ; but do so in a polite manner! Instead this guy pushed people around like they were cattle. \n\nFurther, I showed my pass immediately to him but he asked for it 3 times during that 15 minute ride - which again is fine except for the rude way in which he did so.",Cattle
210,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"6,7,8",Lots of problems because of stray dogs..\nchildren and others are unable to walk after dark. .whole night dogs bark continuesly.making it hell for all..many times they attack on house dogs at night..,Stray Dogs
211,Potholes,Maintenance of Roads and Footpaths,roads,road is bad,"1,13",Roads at gottigere near to hanuman temple. Mapple bear school is very bad. Dangerous to travel with kids or alone. Need road work.,Bad Roads
212,Traffic,Traffic and Road Safety,footpath,parked on footpath,"7,8,9","There are number of two wheelers parked on footpath at thavarakare main road near baniyan tree circle, and also parking on road side illegally creating huge traffic during peak hours.  which creates problems to people walking on footpaths.  kindly do the needful.",Traffic
213,Traffic,Traffic and Road Safety,roads,road not wide enough,"4,5,6,7 ",On immadehalli main road is not wide enough to adjust heavy construction buildings. There movement create a huge traffic and no police officer to restrict there access or check there permit. It\'s better to restrict there movement based on the time..,Traffic
214,Garbage,Garbage and Unsanitary Practices,garbage,garbage burning,"2,3 ","Everyday garbage burning at KAS Officers Colony, Stage 2 btm, 38th Main, 7th Cross.",Garbage
215,Garbage,Garbage and Unsanitary Practices,dustbin,no dustbin,"3,4,5","There is no dust bin in B Narayanpura area (exact location pinned in the map), people are dumping garbage and made the place like hell with lot of foul smell and wastage....Need at least two or three big dust bin as early as possible.attached pic is self descriptive..",Garbage
216,Stray Dogs,"Stray Animals, Insects",stray dogs,get rid of stary dogs,"3,4,5,6 ",Please get rid of stray dogs on 19th Main road and 27th cross (at the end of 19th Main road).,Stray Dogs
217,Repair of streetlights,Maintenance of Roads and Footpaths,street light,not working,"2,3,14,15","The street lights which are in BDA link road of Dwarakanagar, Channasandra is not working","Trees, Parks and Playgrounds - Others"
218,Potholes,Maintenance of Roads and Footpaths,roads,terrible condition of road,"7,13,14","12th Main, 1st Cross, 100 Feet Road in Indira Nagar is in terrible condition with some road left here and there between the potholes since the past 5 years. Please repair it. Thank you!",Potholes
219,Electricity,Electricity and Power Supply,electricity,frequent power cut,"5,6,7,8,9,10 ","Hi, We have very frequent and longer time power cuts almost everyday. Many times we have complained it get resolved by after 5 hours (yesterday we lost power at 10.30 AM in the morning and we got at around 3PM in the evening), today also it went down at 10.30AM in the morning but till now we have not got power back even at 1PM. But, now in recent days its happening frequently. It is very difficult for us to stay without powers in this summer.  Please take some action to resolve this.",Electricity
220,No Sewage Drains,Sewage and Storm Water Drains,drain,drainage overflow,"15,16  ",Hazardous stinking smell at KBS entrance from past 1 week due to rains and drainage overflow. Needs to be fixed at the earliest,No Sewage Drains
221,New Bus Shelters,Public Transport - BMTC,bus,create new bus stop,"4,5,6,7,8,9","Can you please create a new bus stop in Begur-koppa road ( infront of MDVR Primerose apartment), It will help all residents who stays in yelenahalli and akshayanagar east. This is a adjacent road which will connect to bannerghatta road.",Illegal posters and Hoardings
222,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"13,13 ","IN BALAJI LAYOUT, S N LAYOUT AMCO LAYOUT AND SURROUNDING ARES ROAD POTHOLES ARE TOO MUCH.",Potholes
223,Traffic,Traffic and Road Safety,helmet,helmetless,"1,2 ",Helmetless pillion,Traffic
224,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"1,2,3,4 ","Garbage and waste materials thrown on site extending to road ... This is a health hazard for surrounding area; leaves sidewalks / footpaths unusable forcing pedestrians to walk on road increasing the congestion and changes of a mishap. The traffic also suffers due to road being occupied by garbage and being used by pedestrians. If BBMP doesn\'t have space to sort garbage, it should first acquire it before forcing all the garbage being sorted in wards. You are ruining the city\'s beauty instead of improving it..",Garbage
225,Lakes - Others,Lakes,lake,lake in bad state,"2,6,7",Vibhutipura lake is back to a bad state. It requires urgent attention in terms of cleaning & preventing surrounding apartments to stop dumping waste into the lake,Garbage
226,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"13,13 ",There are is a narrow stretch and half of which is a pothole. People have to stop and try to avoid the potholes. Its a very busy road 24/7 and still not one is even thinking about solving the issue in the road.,Potholes
227,Footpaths,Maintenance of Roads and Footpaths,footpath,footpath bad,"1,1",Footpath in totally dilapidated condition,Footpaths
228,Footpaths,Maintenance of Roads and Footpaths,footpath,footpath,"15,15","I live in Vijaya Bank Layout, MSRS Nagar, Bilekahalli just off Bannerghatta Road. The footpath slabs in front of North and South Blocks of Vijaya Enclave were removed nearly 6 months back with the intention of relaying them as the tree roots had affected them. Till date, the footpath slabs lie stacked up one on top of the other making it impossible to use this footpath on 11th Cross (Deverachikanahalli Rd.). The BBMP has turned a blind eye everytime some development work has been taken up. The work is started, then left half done everytime. Even road sweeping has not been done for months, despite requests to the garbage contractor and representation to the authorities. The common response is \""lack of funds\""",Garbage
229,Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Sewage and Storm Water Drains,sewage,sewage drain blocked,"2,3,4,5 ",The sewage drain is blocked and water is entering the basement through the floor,No Sewage Drains
230,Garbage,Garbage and Unsanitary Practices,garbage,garbage dump,"1,2,3 ","Huge garbage dump, before the City College Jayanagar.",Garbage
231,Water Leakage,Water Supply and Services,water,water provided in nights,"1,4,7",Water is usually provided in the nights....,Sewage and Storm Water Drains - Others
232,Footpaths,Maintenance of Roads and Footpaths,footpath,footpath enroached,"34,35,36,37,38,39,40,41,42,43,44,45,46",The road connecting Outer ring road to Kempapura Hebbal along Anjaneyaswamy temple is now a boon to residents of the locality and mototrists. However drivers move at a high speed and pedestrians are not able to use the footpath since it is encroached by shop keepers. Especially the portion between Jain Heritage school and Netajinagar Layout is encroached by a chicken centre forcing pedestrians to use the road. These encroachments have to be removed urgently.,Footpaths
233,No Sewage Drains,Sewage and Storm Water Drains,sewage,no sewage lines,"13,14,15","We are living in this layout since 2001, till date there is no sewage lines provided here, many of the houses have left their sewage water in open storm water drain causing health issues, there is no response from local BBMP office or local political leaders, can anybody help us in resolving this problem.",No Sewage Drains
234,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"8,9,10,11","People\'s house help drop off their house\'s garbage at road corners. Why do they not keep it in their homes till the garbage auto comes to pick it up? Also, outside Airlines Hotel they separate garbage and leave the road in a mess.",Garbage
235,Traffic,Traffic and Road Safety,traffic,"no sign board,no police to stop traffic","29,30,31,32,33,34,35",I have seen lot of HTV and Buses taking U-Turn near nakundi signal (Opposite to total Mall) in mahadevpura inspite there is a NO U-Turn sign. I have never seen any traffic police to stop them for doing that. Please look into this.\n\nThanks\nNeal,Traffic
236,Bad Roads,Maintenance of Roads and Footpaths,roads,construct road,"3,4,5","Please construct Construct the subway road in Trinity Circle, Ulsoor.\nMG road is lost its beauty just because of very heavy traffic and so the pollution as well.",Traffic
237,Bad Roads,Maintenance of Roads and Footpaths,roads,widen the road,"9,12","As the traffic is hectic and heavy, Please widen the MG road in front by acquiring the land of St. Marks Cathedral.",Traffic
238,Air Pollution,Pollution,garbage,wood or garbage burnt,"3,4,5,6 ","Wood or garbage is being burnt in an unoccupied plot of land on the koramangala main road, next to pai electronic showroom.",Garbage
239,Traffic and Road Safety - Others,Traffic and Road Safety,traffic,change signal time,"2,3,4",Please change  singal time  by morning and evening because horrible time  we have stand in bike car,Air Pollution
240,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"1,1","Garbage causing eyesore, stink, health hazard",Garbage
241,Electricity and Power Supply - Others,Electricity and Power Supply,cylinder,extra money for cylinders,"25,26,27,28,29","Iam a consumer of indane gas Under distributor named Vasanth enterprises, indiranagar. When ever I booked for refilling cylinder the delivery people asking for extra money as service charge of Rs. 50 on delivery time than the bill amount and when I contacted the agency to enquir they refuse the extra charges other than the bill amount. I also checked with neighbours they told that the deliveryﺁ  person asking extra money from each house. From this agency there is noﺁ  fecility to deliver cylinder on sheduled time. So from past 3 years I am giving book & money to neighbours to collect the cylinder. neighbours won\'t be argue with this people so they have been giving extra money. Also I have informed to this agency but no use. This month I got a chance to collect cylinder directly from this delivery people on sarurday and after a long arguments they went with out extra money. Pls do needful.",Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover
242,Bad Roads,Maintenance of Roads and Footpaths,roads,bad road,"26,27",The road which connects Sarjapura road to Kadubeesanahalli via doddakanneli is completely non existent. Anyone plying on that road can feel the heat of that bad road. Its complete nightmare.Most of the resiedents in Sarjapura road use the same to commute to office daily.I request our civic body to fix the road as early as possible.,Bad Roads
243,Potholes,Maintenance of Roads and Footpaths,roads,unusable road,"2,3 ","Totally unusable road between Chalagattha and EGL, in the last 8 years, this road had only tar for a year or so. Please fix this soon",Potholes
244,Traffic,Traffic and Road Safety,roads,road not tarred,"6,7 ",The raod over here is not tarred,Air Pollution
245,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"4,5",There is a massive pothole right at the start of Kingston Road from the Richmond Road entrance. It is causing a lot a problems to everyone using the roads.,Potholes
246,Bad Roads,Maintenance of Roads and Footpaths,roads,road not asphalted,"2,15,16,17",The road in front of Bhagyalakshmi Avenue in Nyanappanahalli in Arakere Ward (Wardno:193) has not been asphalted. Whenever it rains the roads turn into a slush field and it is very challenging to walk on drive on it.,Illegal posters and Hoardings
247,Potholes,Maintenance of Roads and Footpaths,Pothole,dangerous potholes,"8,9 ",Bore well road is with full of dangerous potholes. Even Heavy vehicles are not able to move. Request authorities to fix this road immediately.,Potholes
248,Garbage,Garbage and Unsanitary Practices,garbage,garabge collection,"1,2 ",Garbage collection fills half the roads now. Can\'t walk or go on 2 wheeler,Garbage
249,Garbage,Garbage and Unsanitary Practices,garbage,garbage piled,"1,2,3 ",Garbage has piled up for weeks. stinking. dangerous health hazard.,Garbage
250,Others,Others,footpath,enroachment of ffotpath,"10,11,12","Kindly observe the pictures posted in this complaint. Blatant encroachment of footpaths right on Horamavu Main Road - Opposite Sobha Textiles/ Hypermarket. With Hawkers & vehicles randomly parked, there is no space for pedestrians to walk - specially in the evenings. This is blatant encroachment of footpath by storing heaps of timber on the footpath. ... & This is happening on a main busy road,",Footpaths
251,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"7,7",Half of the road is having pothole so people use other half road resulting in accidents,Potholes
252,Repair of streetlights,Maintenance of Roads and Footpaths,street light,Street light is not working,"1,2,3,4,5",Street light is not working from past one month and complaint to the bbmp callcenter is waste of use since still not resolved.,Garbage
253,Others,Others,center,no utlity center,"3,4,5,6 ",There are no such utility center in Gottigere which can help thousands of people who stays in and aorund Gottigere.,Air Pollution
254,Desilting - Lakes,Certificates,lake,clean lajke,"1,3",Clean Gottigere lake ASAP. The lake spreads very bad smell who stays and travels near the lake.,Desilting - Lakes
255,Need New Streetlights,Maintenance of Roads and Footpaths,street light,no proper streetlight,"3,4,5,6 ","There are no proper street lights on Gottigere lake road till Doddakammanahalli. People who travel from NICE road-Bannerghatta Road Junction towards Begur, Doddakammanahalli, Ramanashri Nagar, Hulimavu and other areas take this route and suffer lot of inconvenience due to this. Please act as soon as possible and fix the issue.",Desilting - Lakes
256,Potholes,Maintenance of Roads and Footpaths,Pothole,"bad road,potholes","3,4 ",Lot of bad road near bus stop heavy traffic occurs because of that bad road please put road or cement near lingarajapuram bus stop near Charles school just before the the bridge starts on left side near temple. because of bad road heavy traffic jam occurs my name thouheed - 9880986876,Traffic
257,Overflow of Storm Water Drains,Sewage and Storm Water Drains,drain,poor drainage system,"30,31,32,33,34","This is the state of HRBR layout every time it rains,the road is filled with rain water! some car,bike and auto\'s ,water enters and spoil\'s their vehicles . The drainage system is very poor and a lot of waste is also being dumped in this same area,as this a low line area water gets tangled here and thus this level rises & the very same rain water enters into my house including the drainage water which starts overflowing and giving a very foul smell!",Garbage
258,Bad Roads,Maintenance of Roads and Footpaths,roads,dangerous road due to potholes and unscientific humps,"50,51,52,53","Haralur road, which is daily used by thousands of people to commute to Electronic city is filled with huge potholes and with unscientific humps. Its having more than 30 humps in 4-5 Kms. Its the worst maintained road in Bangalore and a dangerous road for commuters due to the potholes and unscientific humps",Potholes
259,Repair of streetlights,Maintenance of Roads and Footpaths,street light,not working strelights,"28,29,30,31,32 ",I am working in vydehi office and i am staying near itpl . i used to go  by walk only to office.In that road none of the  street lights are not working. I don\'t know whom i need to contact. Could you please help us to solve this problem?. It is too difficult to travel in night because it is too dark and so much of street dogs are also there . it is creating a  problem for patients that depends on the vydehi hospital,Stray Dogs
260,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"1,1","- Pothole spotted at Srinivasa Nilayam, Ejipura, Bengaluru, Karnataka 560095, India",Potholes
261,Traffic,Traffic and Road Safety,traffic,traffic,"7,7","Dear Sir, \nThere is an unseemly traffic in outer ring road (Rammurthynagar ).. it takes 30 mins to get into Rammurthynagar main road because of traffic. and from there raghavendra circle is ever jammed and takes another half an hr to reach home daily. requesting you to draw solution for the same. thank you",Traffic
262,Traffic,Traffic and Road Safety,board,one way board,"8,9,10 ",All vehicles allowed by police even though one way board there.,Traffic
263,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"23,24 ","Hello Sir, I am sushrut kulkarni, staying at Mayura Ecity apts, opp to four points shop. we have a big issue of Stray dogs. there are about 20-30 dogs who bark incessantly every night causing sleepless nights. They also have bitten couple of people in our area. Kindly take action ASAP.",Stray Dogs
264,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"7,7","I see a bunch of 15-20 dogs everyday in my lane, barking all the night and scary to reach home in the night",Stray Dogs
265,Potholes,Maintenance of Roads and Footpaths,roads,new tar road,"4,5,6 ",Please lay a new tar road in and around the Kathriguppe main road lot of potholes very risky to drive in the rain and bikes are getting skid because of poor road please take urgent action for this lot of vehicles move in the circle.,Potholes
266,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes filled with water and mud,"1,1",Potholes have eroded the road and its also filled with mud and water.  dangerous for 2 wheelers,Potholes
267,BMTC - Others,Public Transport - BMTC,bus,increase in bus service,"5,6,7,8 ",I would like an increase in bus service for route number WFS-1,BMTC - Need new Bus Route
268,Traffic,Traffic and Road Safety,traffic,traffic jams,"1,2 ",Traffic jams in main road parking,Traffic
269,New Bus Shelters,Public Transport - BMTC,bus,no bus shelter,"3,4,5",There is no Bus Shelter  available near Eco-Space both the sides.,New Bus Shelters
270,Potholes,Maintenance of Roads and Footpaths,roads,road full ogf potholes,"9,10,11,12,13,14,15 ",The road leading to NPS yeshwantpur from tumkur road is horrible and full of potholes,Potholes
271,Bad Roads,Maintenance of Roads and Footpaths,roads,road bad,"5,6,9",In our area all street roads are too bad,Bad Roads
272,BMTC - Others,Public Transport - BMTC,bus,increase in bus service,"5,6,7,8 ",I would like an increase in bus service for route number 15G,BMTC - Need new Bus Route
273,Illegal posters and Hoardings,Defacement of Buildings and Public Property,trees,posters on trees,"12,16","Trees and walls are filled with PG and other promotion posters are pinnde into the trees all atound the area. Complete area is seen only these things.\n\nIllegal banners for all the purpose is seen all over the area, where it will be so disturbing for Citizens.","Trees, Parks and Playgrounds - Others"
274,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"1,1","Garbage. near infant Jesus church road viveknagar, rose garden bus stop",Garbage
275,Traffic,Traffic and Road Safety,traffic,"traffic signals,zebra crossings at junctions","20,21,28,29","SIR,There is no pedestrian safety in Bangalore as this horrific accident is dotted by a number of educational institutions. Traffic signals has to be recalibrated to cross Zebra crossings at major Traffic junctions. In Sec. 22 of KMC Act 1976, the Corporation is duty bound to design, build & maintain Roads, pavements, streetlights & pedestrian crossings. Private schools should ensure childrenﻗ°ﻷs safety and adhere the SC guidelines to install GPS systems in Buses within 3 months.  The Apex court also made it mandatory to have speed Governors with a maximum speed limit of 40 KMPH and to display the details of the childrenﻗ°ﻷs on Board.  And this is clear violation of SC order. Pls take action in regarding this sir.",Traffic
276,Traffic,Traffic and Road Safety,footpath,footpath driving,"7,8,9,10",Two wheelers are are being rampantly driven on the footpath of 23rd cross road of Banashankari second stage at the traffic signal where the said cross road joins KR road in front of Sridevi Nursing Home. Kindly initiate necessary action against these offenders to make the footpaths safe for pedestrians.,Traffic
277,Traffic,Traffic and Road Safety,traffic,onw way rule violated,"22,23,24,25,26,27",The road connecting Kaderanahalli Cross from the outer ring road after the underpass to Subramanyapura Road is a one way. The one way rule is being voilated by motorists on this stretch of road. Kindly check the lawlessness to avoid any mishaps. Thanks & Regards,Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover
278,Traffic,Traffic and Road Safety,traffic,congestion at junction blocked by vechicles,"21,22,23,24 ",The left turn at the Sarakki Gate signal junction towards Illyas Nagar from Kanakapura on the outer ring road is blocked by the vehicles which are are supposed to move straight towards the Banashankhri Temple. I request the Bangalore Traffic Police to check on this as bringing lane discipline would ease the congestion at the junction.,Traffic
279,Maintenance of Bus Shelter,Public Transport - BMTC,bus,need bus shelter,"9,10,11 ","The main bus stand at Majestic there is need for shelter, as now it is exposed to sun and rain, both during summer and rainy seasons one cannot use this, Also the subway connecting majestic to railway station it should be ramp based, because the lakhs come with huge luggage and they find it difficult to lift and climb the stair case",New Bus Shelters
280,Water Supply and Services - Others,Water Supply and Services,water,no drinking water supply,"27,28,29,30",As we see the ward in already developed from past 4 years and populated  we still dont see the Bwssb  water supply in vigneshwara nagar.thare is no drinking water supply till now . I would request the BBMP officials to be noted on this and resolve at the earliest.,Water Supply 
281,Public Nuisance,Crime and Safety,bar,bar in residential area,"5,12,13,14,15","In total violation a Bar & Restaurant is allowed to function in a residential area. Page 3 Bar & Restaurant is at the corner of entrance to the 10th Main Road, 2nd Stage, NGEF Layout, Nagarbhavi.\nThe entire stretch of 30 Meters is blocked on both sides due to two-wheeler parked by the Bar customers.\nThis bar functions well beyond 11 pm on most weekdays also and the drunk people come on the road and block vehicles entering the layout. This is very serious issue for Safety and has to attended to immediately.",Traffic
282,Traffic,Traffic and Road Safety,traffic,no traffic police,"1,2,3 ",No traffic police to manage the flow of vehicles near tin factory during morning.,Traffic
283,Unauthorized Tree Cutting,"Trees, Parks and Playgrounds",trees,cut trees cleared,"11,12,13",BESCOM has done a good job but please have the cut trees cleared. Thank you,"Trees, Parks and Playgrounds - Others"
284,Garbage,Garbage and Unsanitary Practices,garbage,garabager dumping,"7,8 ",From past one week BBMP is dumping garbage below the Diary circle over bridge. And also they are parking there vehicles full of garbage wastes in main road near to Christ university and diary circle. Now people can\'t walk through that area because of garbage smell.,Garbage
285,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"1,1",Garbage near empty site,Garbage
286,Public Nuisance,Crime and Safety,public,Public yelling on terrace,"1,2,3,4 ",Public yelling on terrace,Public Nuisance
287,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"2,2 ",BBMP GARBAGE workers are throwing collected garbage over the compound wall of BEML. It\'s there for all to see and is happening daily. Sad that no action is being taken against these errant workers and supervisors ignore this,Garbage
288,Electricity,Electricity and Power Supply,electricity,electric fixture protuding on road,"2,3,8,9",The electrical fixture shown in picture is dangerously protruding on to our already narrow road and poses danger to people walking or riding two wheelers especially in the night,Bad Roads
289,Bad Roads,Maintenance of Roads and Footpaths,roads,road in pathetic state,"2,3.6,7",The road is in a pathetic state for the last 1 year or so and is getting worse every day.,Bad Roads
290,Potholes,Maintenance of Roads and Footpaths,roads,rioad to be repaired,"3,4,5,6,7 ",Chinnapahalli Main road needs to be repaired,Bad Roads
291,Bad Roads,Maintenance of Roads and Footpaths,roads,no road,"4,5","There is absolutely no road In the areas around Sai baba temple. People struggle to walk and drive vehicles. At night, due to poor lighting,most of the vehicles are damaged. Many people come to Sai baba temple and find it tough to walk around. Munnekollal in general doesn\'t have roads but this temple stretch is at worst.",Traffic
292,No Sewage Drains,Sewage and Storm Water Drains,sewage,sewage problem,"4,5",Road outside has sewage problem & is posing as  health hazard. Request authorities to take quick action.,Sewage and Storm Water Drains - Others
293,Traffic,Traffic and Road Safety,roads,lack of road infrastructure,"1,2,3,4 ","Lack of road infrastructure and too many cars on a rainy day.near silkboard, agara lake, bellendur, outer ring road",Desilting - Lakes
294,Bad Roads,Maintenance of Roads and Footpaths,roads,road repair,"1,2,3,4,5,6",Road cut for maintenance not repaired causing huge caters and slow traffic causing traffic jam,Traffic
295,Traffic,Traffic and Road Safety,traffic,heavy traffic,"1,2 ",Heavy traffic,Traffic
296,Bad Roads,Maintenance of Roads and Footpaths,Pothole,potholes,"7,8,9,10","Okalipuram 2nd stage 1st main road full of path holes , cannot drive vehicles",Potholes
297,Hawkers and Vendors,Maintenance of Roads and Footpaths,footpath,stores on footpath,"2,9 ",More stores has stacked all their bins  on the footpath. attached the snap. this has happened on Malleshpalaya main road. refer the snap,Footpaths
298,Traffic,Traffic and Road Safety,footpath,riding on footpath,"1,2,3,4,5 ",2 wheeler Riding on footpath near domino\'s pizza shop on Uttarahalli Main road chikkalsandra,Footpaths
299,Potholes,Maintenance of Roads and Footpaths,roads,road repair,"3,4 ",All ways road repair,Bad Roads
300,Traffic,Traffic and Road Safety,roads,road repair and footpath widening,"1,2,4,5",Road repair n footpath widening.. Wat a he\'ll n who planned it has brain or nuts in head dont kn.. Both side footpath is having much space occupied than road.. Regular slow traffic movement,Traffic
301,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"1,1",Garbage near ganesh temple,Garbage
302,Illegal posters and Hoardings,Defacement of Buildings and Public Property,parking,unauthorized no parking board,"1,2,3,4,5,6","Un authorised No parking sign board in maruthinagar main road from Edify School, Electronic city.\nI want to know is this no parking sign board was authorised by bangalore traffic police, and more over in maruthinagar if u seen any where in the no parking the B-Trac symbol will be there,, but in this school name is there what is this nonsence,,, the purpose is they are putting for advertising only. more over this is not in electronic city traffic police limit,, this is madivala traffic police limit,, so kindly put the bangalore traffic police authorised no parking symbol board.....",Traffic
303,Illegal posters and Hoardings,Defacement of Buildings and Public Property,parking,unauthorized no parking board,"1,2,3,4,5,6","Un authorised No parking sign board in maruthinagar main road from Edify School, Electronic city.\nI want to know is this no parking sign board was authorised by bangalore traffic police, and more over in maruthinagar if u seen any where in the no parking the B-Trac symbol will be there,, but in this school name is there what is this nonsence,,, the purpose is they are putting for advertising only. more over this is not in electronic city traffic police limit,, this is madivala traffic police limit,, so kindly put the bangalore traffic police authorised no parking symbol board.....",Traffic
304,Water Supply,Water Supply and Services,drain,stingking with drainage water,"12,13,14,15,16,17,18,19","From past 20 days HSR layout, 7th sector, 18th cross is stinking with sanitary and drainage water on roads, empty sites and in basements of houses. Repeated complaints/requests from residents to BWSSB and BBMP has not worked out. Please attend this on priority.",No Sewage Drains
305,Traffic,Traffic and Road Safety,subway,underground pass subway,"3,12,13,14,15,16","To avoid traffic in this place. Karnataka BTP, BBMP  should start Under ground Pass SUBWAY Near KR Puram Railway Station.",Traffic
306,Bad Roads,Maintenance of Roads and Footpaths,roads,road destroyed,"3,9,10","Outer Ring road service roads (Both) sides are completely destroyed and its becoming more and more bad for 2 wheelers and cars to commute especially during rainy season. Please get this resolved as there are millions of people using this road and are struggling everyday to lead their normal life. Also, the outer ring roads are very very dusty with red mud all over....",Bad Roads
307,Need New Toilets,Garbage and Unsanitary Practices,toilet,need toliets,"2,3,4",We need public toilet in aecs layout kundalahalli area.,Need New Toilets 
308,Potholes,Maintenance of Roads and Footpaths,roads,road bad,"19,20,21,22,23,24,25,26",The road which connects commuters between SNNRAJ lake View to Bannerghatta Road Ranka Colony is in the picture.This road is badly detoriorated due to heavy rains and today a car is stuck in the road as seen in the picture.Needs serious attention.,Desilting - Lakes
309,Removal of Encroachment - Lakes,Lakes,lake,enroaching lakes,"4,6",Businessmen and Builder encroaching the Lakes everyday..\nauthorities please do something about it.,Desilting - Lakes
310,Removal of Encroachment - Lakes,Lakes,lake,enroaching lakes,"3,5",Its aclear encroachment o Lake in front o Ecospace ORR.\nwhat are the authorities doing?,Desilting - Lakes
311,Potholes,Maintenance of Roads and Footpaths,Pothole,"potholes,road uneven","4,5,6 ","There are a lot of potholes in this stretch and the road is uneven, causing jams. Will the BBMP look into this?",Potholes
312,Traffic,Traffic and Road Safety,footpath,parking on footpath,"1,2,3,4 ",Parking on the footpath Hayes Road,Footpaths
313,Bad Roads,Maintenance of Roads and Footpaths,roads,road bad,"2,16,17","The road around hoodi circle towards graphite india and towards ABB or ESI has become very bad. These roads were laid only last year and then it was dug-up for UGD. Once the UGD work was done, the patch was relaid and at many places it is caving in. There are just too many pot holes. This area sees lot of traffic going to and coming from ITPL, even then no effort is being made to keep this road in good condition.\nRequest the concerned authorities to take an action soon.",Traffic
314,Garbage,Garbage and Unsanitary Practices,dump,dumping zone,"4,5","Hi Team,\n\nBBMP dumping yard on the ORR. The service road at BNarayanapura, Mahadevapura has become a dumping zone for the BBMP workers and because of this there would always be traffic jam; smell is horrible and unbearable.Please look for a proper dumping of the wastage.Thanks.",Traffic
315,Footpaths,Maintenance of Roads and Footpaths,footpath,no footpath,"9,10,11,12 ",From Bommanahalli Signal to Oxford College there is no footpath to walk every vehicle in footpath not able to walk in Bommanahalli,Footpaths
316,Traffic,Traffic and Road Safety,traffic,signal timings,"5,6 ","Near K R Puram Signal Time settings, its found that vehicles moving on ring round were open for signal  60 seconds where as vehicles moving from white field are allowed for 900 seconds.So that to travel on ring road foe a Kilometer distance we have to wait for 1 hr. Its unfair that people are traveling on ring road facing  lot of inconvenience. Please consider the signal timings and increase the duration of seconds for ring road commuters too.",Traffic
